name,level,province_or_scope,city,address,phone,email,website,size_notes,decision_maker_contact,budget_notes,source_url
Food Banks Canada,National,Canada,Mississauga,"77 City Centre Dr Suite 501, Mississauga, ON L5B 1M5","+1-905-602-5234; +1-877-535-0958",info@foodbankscanada.ca,https://foodbankscanada.ca,"National umbrella for food banks and agencies across Canada",,,"https://foodbankscanada.ca/about-us/get-in-touch/"
Food Banks BC,Provincial,British Columbia,Burnaby,"8345 Winston St, Burnaby, BC V5A 2H3","+1-604-876-3601",reception@foodbank.bc.ca,https://foodbank.bc.ca,"Provincial association (BC); serves Greater Vancouver region",,,"https://foodbank.bc.ca/"
Food Banks Alberta,Provincial,Alberta,Leduc,"105-3903 75 Avenue, Leduc, AB T9E 0K3","+1-780-459-4598",info@foodbanksalberta.ca,https://www.foodbanksalberta.ca,"Provincial association (AB)",,,"https://foodbankscanada.ca/about-us/provincial-and-territorial-associations/"
Food Banks of Saskatchewan,Provincial,Saskatchewan,Saskatoon,"202 Avenue C South, Saskatoon, SK S7M 1N2","+1-306-664-6565",info@skfoodbanks.ca,https://www.skfoodbanks.ca,"Provincial association (SK)",,,"https://foodbankscanada.ca/about-us/provincial-and-territorial-associations/"
Harvest Manitoba,Provincial,Manitoba,Winnipeg,"1085 Winnipeg Ave, Winnipeg, MB R3E 0S2","+1-204-982-3663",information@harvestmanitoba.ca,https://www.harvestmanitoba.ca,"Provincial association (MB); coordinates food banks in Manitoba",,,"https://www.harvestmanitoba.ca/"
Feed Ontario,Provincial,Ontario,Toronto,"229 Yonge Street, Toronto, ON M5B 1N9","+1-416-656-4100",info@feedontario.ca,https://feedontario.ca,"Provincial association (ON); represents 1,200+ hunger-relief orgs",,,"https://feedontario.ca/"
Banques Alimentaires Québec,Provincial,Quebec,Longueuil,"555 boul. Roland-Therrien Suite 230, Longueuil, QC J4H 3Y9","+1-514-344-0789",info@banquesalimentaires.org,https://banquesalimentaires.org,"Provincial association (QC)",,,"https://banquesalimentaires.org/en/contact-us/"
Feed NB,Provincial,New Brunswick,Moncton,"330 MacNaughton Avenue, Moncton, NB E1H 2K1","+1-506-227-0417",info@nbafb-abanb.ca,https://www.feednb.ca,"Provincial association (NB)",,,"https://www.feednb.ca/"
Feed Nova Scotia,Provincial,Nova Scotia,Dartmouth,"67 Wright Avenue, Dartmouth, NS B3B 1H2","+1-902-457-1900",communications@feednovascotia.ca,https://www.feednovascotia.ca,"Provincial association (NS)",,,"https://foodbankscanada.ca/about-us/provincial-and-territorial-associations/"
PEI Association of Food Banks,Provincial,Prince Edward Island,Charlottetown,"33 Belmont St, Charlottetown, PE C1A 7M8","+1-902-892-7092",,https://www.peifoodbanks.ca,"Provincial association (PEI)",,,"https://foodbankscanada.ca/about-us/provincial-and-territorial-associations/"
Community Food Sharing Association,Provincial,Newfoundland and Labrador,St. John's,"21 Mews Place, St. John's, NL A1C 6J9","+1-709-722-0130",,https://cfsa.nl.ca,"Provincial association (NL)",,,"https://foodbankscanada.ca/about-us/provincial-and-territorial-associations/"
Food Bank Society of the Yukon,Provincial,Yukon,Whitehorse,"306b Alexander Street, Whitehorse, YT Y1A 2L6","+1-867-393-2265",office@whitehorsefoodbank.ca,https://whitehorsefoodbank.ca,"Territorial association (YT)",,,"https://foodbankscanada.ca/about-us/provincial-and-territorial-associations/"
Daily Bread Food Bank,Local,Ontario,Toronto,"191 New Toronto Street, Toronto, ON M8V 2E7","+1-416-203-0050",info@dailybread.ca,https://www.dailybread.ca,"Large metro food bank (GTA)",,,"https://www.dailybread.ca/contact/"
Greater Vancouver Food Bank,Local,British Columbia,Burnaby,"8345 Winston Street, Burnaby, BC V5A 2H3","+1-604-876-3601",reception@foodbank.bc.ca,https://foodbank.bc.ca,"Large metro food bank (Greater Vancouver region)",,,"https://foodbank.bc.ca/"
Food Bank of Waterloo Region,Local,Ontario,Kitchener,"50 Alpine Court, Kitchener, ON N2E 1B4","+1-519-743-5576",info@thefoodbank.ca,https://www.thefoodbank.ca,"Regional food bank serving Waterloo Region",,,"https://www.thefoodbank.ca/contact/"
Edmonton’s Food Bank,Local,Alberta,Edmonton,"11508 120 St NW, Edmonton, AB T5G 2Y2","+1-780-425-4190",info@edmontonsfoodbank.com,https://www.edmontonsfoodbank.com,"Major metro food bank (Edmonton)",,,"https://www.edmontonsfoodbank.com/contact/"
Moisson Montréal,Local,Quebec,Montreal,"6880 Chemin de la Côte-de-Liesse, Montréal, QC H4T 2A1","+1-514-344-4494",info@moissonmontreal.org,https://www.moissonmontreal.org,"Major metro food bank (Montreal)",,,"https://www.moissonmontreal.org/en/about-us/annual-reports/"
